name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,jam_density,wave_speed,demand_type_code,mode_code,network_design_flag,grade,geometry,original_geometry,map_matching_orientation_code,map_matching_loop_code
,72748075,72748075_AB,,,10220,10221,Major arterial,1,0.04088,1,40,900,4,190,12,,,"<LineString><coordinates>-111.937569,33.415204,0.0 -111.937328,33.415342,0.0 -111.937140,33.415490,0.0 -111.937017,33.415620,0.0 -111.936926,33.415723,0.0 -111.936876,33.415795,0.0</coordinates></LineString>","<LineString><coordinates>-111.937578,33.415213,0.0 -111.937336,33.415352,0.0 -111.937149,33.415500,0.0 -111.937025,33.415630,0.0 -111.936934,33.415733,0.0 -111.936884,33.415804,0.0</coordinates></LineString>",,,,
,72748075,72748075_BA,,,10221,10220,Major arterial,1,0.04088,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936892,33.415814,0.0 -111.936942,33.415742,0.0 -111.937033,33.415639,0.0 -111.937157,33.415509,0.0 -111.937344,33.415362,0.0 -111.937586,33.415223,0.0</coordinates></LineString>","<LineString><coordinates>-111.936884,33.415804,0.0 -111.936934,33.415733,0.0 -111.937025,33.415630,0.0 -111.937149,33.415500,0.0 -111.937336,33.415352,0.0 -111.937578,33.415213,0.0</coordinates></LineString>",,,,
,72748079,72748079_AB,,,10222,10223,Major arterial,1,0.06133,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936888,33.415984,0.0 -111.936897,33.415805,0.0 -111.936905,33.415487,0.0 -111.936914,33.415097,0.0</coordinates></LineString>","<LineString><coordinates>-111.936875,33.415983,0.0 -111.936884,33.415804,0.0 -111.936892,33.415486,0.0 -111.936902,33.415097,0.0</coordinates></LineString>",,,,
,72748079,72748079_BA,,,10223,10222,Major arterial,1,0.06133,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936889,33.415096,0.0 -111.936879,33.415486,0.0 -111.936871,33.415804,0.0 -111.936862,33.415983,0.0</coordinates></LineString>","<LineString><coordinates>-111.936902,33.415097,0.0 -111.936892,33.415486,0.0 -111.936884,33.415804,0.0 -111.936875,33.415983,0.0</coordinates></LineString>",,,,
,72748081,72748081_AB,,,10224,10225,Major arterial,1,0.02357,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936900,33.415496,0.0 -111.937287,33.415155,0.0</coordinates></LineString>","<LineString><coordinates>-111.936892,33.415486,0.0 -111.937278,33.415145,0.0</coordinates></LineString>",,,,
,72748081,72748081_BA,,,10225,10224,Major arterial,1,0.02357,1,40,900,4,190,12,,,"<LineString><coordinates>-111.937270,33.415136,0.0 -111.936884,33.415477,0.0</coordinates></LineString>","<LineString><coordinates>-111.937278,33.415145,0.0 -111.936892,33.415486,0.0</coordinates></LineString>",,,,
,72748105,72748105_AB,,,10226,10227,Major arterial,1,0.05924,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936985,33.416235,0.0 -111.937018,33.416047,0.0 -111.937024,33.416014,0.0 -111.937040,33.415965,0.0 -111.937104,33.415858,0.0 -111.937222,33.415714,0.0 -111.937431,33.415553,0.0 -111.937587,33.415450,0.0 -111.937780,33.415379,0.0</coordinates></LineString>","<LineString><coordinates>-111.936975,33.416226,0.0 -111.937009,33.416038,0.0 -111.937014,33.416006,0.0 -111.937031,33.415957,0.0 -111.937095,33.415849,0.0 -111.937213,33.415706,0.0 -111.937422,33.415545,0.0 -111.937578,33.415442,0.0 -111.937771,33.415370,0.0</coordinates></LineString>",,,,
,72748105,72748105_BA,,,10227,10226,Major arterial,1,0.05924,1,40,900,4,190,12,,,"<LineString><coordinates>-111.937761,33.415361,0.0 -111.937568,33.415433,0.0 -111.937413,33.415536,0.0 -111.937204,33.415697,0.0 -111.937085,33.415840,0.0 -111.937021,33.415948,0.0 -111.937005,33.415997,0.0 -111.936999,33.416030,0.0 -111.936966,33.416218,0.0</coordinates></LineString>","<LineString><coordinates>-111.937771,33.415370,0.0 -111.937578,33.415442,0.0 -111.937422,33.415545,0.0 -111.937213,33.415706,0.0 -111.937095,33.415849,0.0 -111.937031,33.415957,0.0 -111.937014,33.416006,0.0 -111.937009,33.416038,0.0 -111.936975,33.416226,0.0</coordinates></LineString>",,,,
,72748110,72748110_AB,,,10222,10228,Major arterial,1,0.00248,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936873,33.415996,0.0 -111.937013,33.416018,0.0 -111.937163,33.416032,0.0</coordinates></LineString>","<LineString><coordinates>-111.936875,33.415983,0.0 -111.937014,33.416006,0.0 -111.937165,33.416019,0.0</coordinates></LineString>",,,,
,72748110,72748110_BA,,,10228,10222,Major arterial,1,0.00248,1,40,900,4,190,12,,,"<LineString><coordinates>-111.937166,33.416007,0.0 -111.937016,33.415993,0.0 -111.936876,33.415971,0.0</coordinates></LineString>","<LineString><coordinates>-111.937165,33.416019,0.0 -111.937014,33.416006,0.0 -111.936875,33.415983,0.0</coordinates></LineString>",,,,
,72748119,72748119_AB,,,10229,10230,Major arterial,1,0.00973,1,40,900,4,190,12,,,"<LineString><coordinates>-111.937750,33.416005,0.0 -111.937647,33.415953,0.0 -111.937593,33.415933,0.0 -111.937526,33.415904,0.0 -111.937430,33.415873,0.0 -111.937328,33.415855,0.0 -111.937259,33.415841,0.0 -111.937157,33.415832,0.0 -111.937147,33.415864,0.0</coordinates></LineString>","<LineString><coordinates>-111.937747,33.416017,0.0 -111.937644,33.415966,0.0 -111.937590,33.415946,0.0 -111.937523,33.415917,0.0 -111.937427,33.415886,0.0 -111.937326,33.415867,0.0 -111.937256,33.415853,0.0 -111.937154,33.415844,0.0 -111.937145,33.415876,0.0</coordinates></LineString>",,,,
,72748119,72748119_BA,,,10230,10229,Major arterial,1,0.00973,1,40,900,4,190,12,,,"<LineString><coordinates>-111.937142,33.415889,0.0 -111.937151,33.415857,0.0 -111.937253,33.415866,0.0 -111.937323,33.415879,0.0 -111.937424,33.415898,0.0 -111.937520,33.415929,0.0 -111.937587,33.415958,0.0 -111.937641,33.415978,0.0 -111.937745,33.416029,0.0</coordinates></LineString>","<LineString><coordinates>-111.937145,33.415876,0.0 -111.937154,33.415844,0.0 -111.937256,33.415853,0.0 -111.937326,33.415867,0.0 -111.937427,33.415886,0.0 -111.937523,33.415917,0.0 -111.937590,33.415946,0.0 -111.937644,33.415966,0.0 -111.937747,33.416017,0.0</coordinates></LineString>",,,,
,72748124,72748124_AB,,,10230,10231,Major arterial,1,0.00148,1,40,900,4,190,12,,,"<LineString><coordinates>-111.937142,33.415889,0.0 -111.937229,33.415910,0.0</coordinates></LineString>","<LineString><coordinates>-111.937145,33.415876,0.0 -111.937232,33.415898,0.0</coordinates></LineString>",,,,
,72748124,72748124_BA,,,10231,10230,Major arterial,1,0.00148,1,40,900,4,190,12,,,"<LineString><coordinates>-111.937235,33.415885,0.0 -111.937148,33.415864,0.0</coordinates></LineString>","<LineString><coordinates>-111.937232,33.415898,0.0 -111.937145,33.415876,0.0</coordinates></LineString>",,,,
,72748130,72748130_AB,,,10232,10233,Major arterial,1,0.03539,1,40,900,4,190,12,,,"<LineString><coordinates>-111.938305,33.416469,0.0 -111.938329,33.416534,0.0 -111.938401,33.416685,0.0 -111.938448,33.416797,0.0 -111.938484,33.416900,0.0 -111.938499,33.416984,0.0 -111.938451,33.416980,0.0</coordinates></LineString>","<LineString><coordinates>-111.938317,33.416465,0.0 -111.938341,33.416531,0.0 -111.938413,33.416682,0.0 -111.938461,33.416794,0.0 -111.938496,33.416897,0.0 -111.938511,33.416980,0.0 -111.938463,33.416977,0.0</coordinates></LineString>",,,,
,72748130,72748130_BA,,,10233,10232,Major arterial,1,0.03539,1,40,900,4,190,12,,,"<LineString><coordinates>-111.938476,33.416973,0.0 -111.938523,33.416977,0.0 -111.938509,33.416893,0.0 -111.938473,33.416791,0.0 -111.938426,33.416678,0.0 -111.938353,33.416527,0.0 -111.938329,33.416462,0.0</coordinates></LineString>","<LineString><coordinates>-111.938463,33.416977,0.0 -111.938511,33.416980,0.0 -111.938496,33.416897,0.0 -111.938461,33.416794,0.0 -111.938413,33.416682,0.0 -111.938341,33.416531,0.0 -111.938317,33.416465,0.0</coordinates></LineString>",,,,
,72748133,72748133_AB,,,10234,10233,Major arterial,1,0.00441,1,40,900,4,190,12,,,"<LineString><coordinates>-111.938440,33.416915,0.0 -111.938451,33.416979,0.0</coordinates></LineString>","<LineString><coordinates>-111.938453,33.416913,0.0 -111.938463,33.416977,0.0</coordinates></LineString>",,,,
,72748133,72748133_BA,,,10233,10234,Major arterial,1,0.00441,1,40,900,4,190,12,,,"<LineString><coordinates>-111.938476,33.416975,0.0 -111.938465,33.416911,0.0</coordinates></LineString>","<LineString><coordinates>-111.938463,33.416977,0.0 -111.938453,33.416913,0.0</coordinates></LineString>",,,,
,73450377,73450377_AB,,,10211,10207,Major arterial,1,0.02895,1,40,900,4,190,12,,,"<LineString><coordinates>-111.939167,33.416471,0.0 -111.939093,33.416443,0.0 -111.938908,33.416384,0.0 -111.938832,33.416514,0.0 -111.938725,33.416662,0.0 -111.938650,33.416738,0.0 -111.938473,33.416854,0.0 -111.938422,33.416855,0.0 -111.938355,33.416890,0.0</coordinates></LineString>","<LineString><coordinates>-111.939173,33.416483,0.0 -111.939099,33.416454,0.0 -111.938913,33.416395,0.0 -111.938838,33.416525,0.0 -111.938731,33.416673,0.0 -111.938656,33.416749,0.0 -111.938479,33.416865,0.0 -111.938428,33.416867,0.0 -111.938361,33.416901,0.0</coordinates></LineString>",,,,
,73450377,73450377_BA,,,10207,10211,Major arterial,1,0.02895,1,40,900,4,190,12,,,"<LineString><coordinates>-111.938367,33.416912,0.0 -111.938433,33.416878,0.0 -111.938485,33.416877,0.0 -111.938662,33.416760,0.0 -111.938737,33.416684,0.0 -111.938844,33.416536,0.0 -111.938919,33.416407,0.0 -111.939105,33.416465,0.0 -111.939179,33.416494,0.0</coordinates></LineString>","<LineString><coordinates>-111.938361,33.416901,0.0 -111.938428,33.416867,0.0 -111.938479,33.416865,0.0 -111.938656,33.416749,0.0 -111.938731,33.416673,0.0 -111.938838,33.416525,0.0 -111.938913,33.416395,0.0 -111.939099,33.416454,0.0 -111.939173,33.416483,0.0</coordinates></LineString>",,,,
Light Rail,136876975,136876975_AB,,,10235,10236,Major arterial,1,1.10712,1,40,900,4,190,12,,,"<LineString><coordinates>-111.891808,33.414816,0.0 -111.899676,33.414832,0.0 -111.908200,33.414785,0.0 -111.915681,33.414811,0.0 -111.921910,33.416315,0.0 -111.928560,33.422268,0.0 -111.930816,33.423306,0.0 -111.933777,33.425078,0.0 -111.938292,33.427084,0.0 -111.941843,33.427540,0.0 -111.943444,33.430822,0.0</coordinates></LineString>","<LineString><coordinates>-111.891812,33.414804,0.0 -111.899680,33.414820,0.0 -111.908204,33.414772,0.0 -111.915685,33.414799,0.0 -111.921913,33.416303,0.0 -111.928564,33.422255,0.0 -111.930820,33.423293,0.0 -111.933781,33.425066,0.0 -111.938296,33.427072,0.0 -111.941846,33.427527,0.0 -111.943448,33.430810,0.0</coordinates></LineString>",,,,
Light Rail,136876975,136876975_BA,,,10236,10235,Major arterial,1,1.10712,1,40,900,4,190,12,,,"<LineString><coordinates>-111.943452,33.430798,0.0 -111.941850,33.427515,0.0 -111.938300,33.427060,0.0 -111.933785,33.425054,0.0 -111.930824,33.423281,0.0 -111.928568,33.422243,0.0 -111.921917,33.416291,0.0 -111.915689,33.414786,0.0 -111.908207,33.414760,0.0 -111.899684,33.414807,0.0 -111.891816,33.414792,0.0</coordinates></LineString>","<LineString><coordinates>-111.943448,33.430810,0.0 -111.941846,33.427527,0.0 -111.938296,33.427072,0.0 -111.933781,33.425066,0.0 -111.930820,33.423293,0.0 -111.928564,33.422255,0.0 -111.921913,33.416303,0.0 -111.915685,33.414799,0.0 -111.908204,33.414772,0.0 -111.899680,33.414820,0.0 -111.891812,33.414804,0.0</coordinates></LineString>",,,,
Light Rail,136876977,136876977_AB,,,10237,10238,Major arterial,1,0.0144,1,40,900,4,190,12,,,"<LineString><coordinates>-111.938905,33.427325,0.0 -111.938756,33.427244,0.0 -111.938642,33.427178,0.0 -111.938524,33.427116,0.0</coordinates></LineString>","<LineString><coordinates>-111.938899,33.427336,0.0 -111.938750,33.427255,0.0 -111.938636,33.427189,0.0 -111.938518,33.427127,0.0</coordinates></LineString>",,,,
Light Rail,136876977,136876977_BA,,,10238,10237,Major arterial,1,0.0144,1,40,900,4,190,12,,,"<LineString><coordinates>-111.938512,33.427139,0.0 -111.938630,33.427201,0.0 -111.938744,33.427266,0.0 -111.938893,33.427347,0.0</coordinates></LineString>","<LineString><coordinates>-111.938518,33.427127,0.0 -111.938636,33.427189,0.0 -111.938750,33.427255,0.0 -111.938899,33.427336,0.0</coordinates></LineString>",,,,
Light Rail,136876979,136876979_AB,,,10239,10238,Major arterial,1,0.01199,1,40,900,4,190,12,,,"<LineString><coordinates>-111.938974,33.427289,0.0 -111.938769,33.427198,0.0 -111.938645,33.427156,0.0 -111.938523,33.427116,0.0</coordinates></LineString>","<LineString><coordinates>-111.938970,33.427301,0.0 -111.938765,33.427210,0.0 -111.938640,33.427168,0.0 -111.938518,33.427127,0.0</coordinates></LineString>",,,,
Light Rail,136876979,136876979_BA,,,10238,10239,Major arterial,1,0.01199,1,40,900,4,190,12,,,"<LineString><coordinates>-111.938514,33.427139,0.0 -111.938636,33.427180,0.0 -111.938760,33.427222,0.0 -111.938965,33.427313,0.0</coordinates></LineString>","<LineString><coordinates>-111.938518,33.427127,0.0 -111.938640,33.427168,0.0 -111.938765,33.427210,0.0 -111.938970,33.427301,0.0</coordinates></LineString>",,,,
Light Rail,136876981,136876981_AB,,,10240,10241,Major arterial,1,0.00419,1,40,900,4,190,12,,,"<LineString><coordinates>-111.918074,33.414747,0.0 -111.918630,33.414808,0.0</coordinates></LineString>","<LineString><coordinates>-111.918076,33.414734,0.0 -111.918632,33.414795,0.0</coordinates></LineString>",,,,
Light Rail,136876981,136876981_BA,,,10241,10240,Major arterial,1,0.00419,1,40,900,4,190,12,,,"<LineString><coordinates>-111.918633,33.414782,0.0 -111.918077,33.414722,0.0</coordinates></LineString>","<LineString><coordinates>-111.918632,33.414795,0.0 -111.918076,33.414734,0.0</coordinates></LineString>",,,,
Light Rail,136876982,136876982_AB,,,10242,10243,Major arterial,1,0.00349,1,40,900,4,190,12,,,"<LineString><coordinates>-111.919332,33.414806,0.0 -111.919798,33.414756,0.0</coordinates></LineString>","<LineString><coordinates>-111.919331,33.414793,0.0 -111.919797,33.414743,0.0</coordinates></LineString>",,,,
Light Rail,136876982,136876982_BA,,,10243,10242,Major arterial,1,0.00349,1,40,900,4,190,12,,,"<LineString><coordinates>-111.919796,33.414730,0.0 -111.919329,33.414781,0.0</coordinates></LineString>","<LineString><coordinates>-111.919797,33.414743,0.0 -111.919331,33.414793,0.0</coordinates></LineString>",,,,
Light Rail,136876983,136876983_AB,,,10244,10245,Major arterial,1,0.01129,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936561,33.426324,0.0 -111.936674,33.426380,0.0 -111.936806,33.426445,0.0 -111.936894,33.426488,0.0</coordinates></LineString>","<LineString><coordinates>-111.936567,33.426313,0.0 -111.936679,33.426369,0.0 -111.936812,33.426434,0.0 -111.936900,33.426476,0.0</coordinates></LineString>",,,,
Light Rail,136876983,136876983_BA,,,10245,10244,Major arterial,1,0.01129,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936905,33.426465,0.0 -111.936817,33.426423,0.0 -111.936685,33.426357,0.0 -111.936572,33.426302,0.0</coordinates></LineString>","<LineString><coordinates>-111.936900,33.426476,0.0 -111.936812,33.426434,0.0 -111.936679,33.426369,0.0 -111.936567,33.426313,0.0</coordinates></LineString>",,,,
Light Rail,136876984,136876984_AB,,,10246,10245,Major arterial,1,0.00921,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936415,33.426355,0.0 -111.936534,33.426391,0.0 -111.936669,33.426434,0.0 -111.936758,33.426454,0.0 -111.936897,33.426488,0.0</coordinates></LineString>","<LineString><coordinates>-111.936418,33.426343,0.0 -111.936538,33.426379,0.0 -111.936673,33.426422,0.0 -111.936761,33.426442,0.0 -111.936900,33.426476,0.0</coordinates></LineString>",,,,
Light Rail,136876984,136876984_BA,,,10245,10246,Major arterial,1,0.00921,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936903,33.426464,0.0 -111.936765,33.426430,0.0 -111.936676,33.426409,0.0 -111.936541,33.426367,0.0 -111.936422,33.426331,0.0</coordinates></LineString>","<LineString><coordinates>-111.936900,33.426476,0.0 -111.936761,33.426442,0.0 -111.936673,33.426422,0.0 -111.936538,33.426379,0.0 -111.936418,33.426343,0.0</coordinates></LineString>",,,,
Light Rail,136876985,136876985_AB,,,10245,10238,Major arterial,1,0.04505,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936895,33.426488,0.0 -111.937151,33.426573,0.0 -111.937342,33.426643,0.0 -111.937577,33.426731,0.0 -111.937939,33.426889,0.0 -111.938316,33.427050,0.0 -111.938514,33.427139,0.0</coordinates></LineString>","<LineString><coordinates>-111.936900,33.426476,0.0 -111.937156,33.426561,0.0 -111.937347,33.426632,0.0 -111.937582,33.426719,0.0 -111.937944,33.426878,0.0 -111.938321,33.427039,0.0 -111.938518,33.427127,0.0</coordinates></LineString>",,,,
Light Rail,136876985,136876985_BA,,,10238,10245,Major arterial,1,0.04505,1,40,900,4,190,12,,,"<LineString><coordinates>-111.938523,33.427116,0.0 -111.938326,33.427027,0.0 -111.937949,33.426866,0.0 -111.937586,33.426708,0.0 -111.937351,33.426620,0.0 -111.937161,33.426550,0.0 -111.936905,33.426464,0.0</coordinates></LineString>","<LineString><coordinates>-111.938518,33.427127,0.0 -111.938321,33.427039,0.0 -111.937944,33.426878,0.0 -111.937582,33.426719,0.0 -111.937347,33.426632,0.0 -111.937156,33.426561,0.0 -111.936900,33.426476,0.0</coordinates></LineString>",,,,
,136876986,136876986_AB,,,10247,10248,Major arterial,1,0.00046,1,40,900,4,190,12,,,"<LineString><coordinates>-111.940237,33.427465,0.0 -111.941149,33.427458,0.0</coordinates></LineString>","<LineString><coordinates>-111.940237,33.427452,0.0 -111.941149,33.427446,0.0</coordinates></LineString>",,,,
,136876986,136876986_BA,,,10248,10247,Major arterial,1,0.00046,1,40,900,4,190,12,,,"<LineString><coordinates>-111.941149,33.427433,0.0 -111.940237,33.427440,0.0</coordinates></LineString>","<LineString><coordinates>-111.941149,33.427446,0.0 -111.940237,33.427452,0.0</coordinates></LineString>",,,,
,136876987,136876987_AB,,,10249,10250,Major arterial,1,0.02047,1,40,900,4,190,12,,,"<LineString><coordinates>-111.935517,33.425917,0.0 -111.936357,33.426213,0.0</coordinates></LineString>","<LineString><coordinates>-111.935521,33.425905,0.0 -111.936362,33.426201,0.0</coordinates></LineString>",,,,
,136876987,136876987_BA,,,10250,10249,Major arterial,1,0.02047,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936366,33.426189,0.0 -111.935526,33.425893,0.0</coordinates></LineString>","<LineString><coordinates>-111.936362,33.426201,0.0 -111.935521,33.425905,0.0</coordinates></LineString>",,,,
,136876989,136876989_AB,,,10251,10252,Major arterial,1,0.04546,1,40,900,4,190,12,,,"<LineString><coordinates>-111.926509,33.420508,0.0 -111.927252,33.421166,0.0</coordinates></LineString>","<LineString><coordinates>-111.926517,33.420499,0.0 -111.927261,33.421156,0.0</coordinates></LineString>",,,,
,136876989,136876989_BA,,,10252,10251,Major arterial,1,0.04546,1,40,900,4,190,12,,,"<LineString><coordinates>-111.927269,33.421147,0.0 -111.926526,33.420489,0.0</coordinates></LineString>","<LineString><coordinates>-111.927261,33.421156,0.0 -111.926517,33.420499,0.0</coordinates></LineString>",,,,
,136876990,136876990_AB,,,10253,10254,Major arterial,1,0.02047,1,40,900,4,190,12,,,"<LineString><coordinates>-111.935486,33.425999,0.0 -111.936326,33.426295,0.0</coordinates></LineString>","<LineString><coordinates>-111.935490,33.425987,0.0 -111.936330,33.426283,0.0</coordinates></LineString>",,,,
,136876990,136876990_BA,,,10254,10253,Major arterial,1,0.02047,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936334,33.426271,0.0 -111.935494,33.425975,0.0</coordinates></LineString>","<LineString><coordinates>-111.936330,33.426283,0.0 -111.935490,33.425987,0.0</coordinates></LineString>",,,,
,136876991,136876991_AB,,,10255,10256,Major arterial,1,0.00046,1,40,900,4,190,12,,,"<LineString><coordinates>-111.940246,33.427572,0.0 -111.941158,33.427565,0.0</coordinates></LineString>","<LineString><coordinates>-111.940246,33.427559,0.0 -111.941159,33.427552,0.0</coordinates></LineString>",,,,
,136876991,136876991_BA,,,10256,10255,Major arterial,1,0.00046,1,40,900,4,190,12,,,"<LineString><coordinates>-111.941158,33.427540,0.0 -111.940246,33.427546,0.0</coordinates></LineString>","<LineString><coordinates>-111.941159,33.427552,0.0 -111.940246,33.427559,0.0</coordinates></LineString>",,,,
,136876992,136876992_AB,,,10257,10258,Major arterial,1,0.04546,1,40,900,4,190,12,,,"<LineString><coordinates>-111.926595,33.420406,0.0 -111.926967,33.420735,0.0 -111.927339,33.421063,0.0</coordinates></LineString>","<LineString><coordinates>-111.926604,33.420396,0.0 -111.926976,33.420725,0.0 -111.927347,33.421053,0.0</coordinates></LineString>",,,,
,136876992,136876992_BA,,,10258,10257,Major arterial,1,0.04546,1,40,900,4,190,12,,,"<LineString><coordinates>-111.927356,33.421044,0.0 -111.926984,33.420715,0.0 -111.926612,33.420387,0.0</coordinates></LineString>","<LineString><coordinates>-111.927347,33.421053,0.0 -111.926976,33.420725,0.0 -111.926604,33.420396,0.0</coordinates></LineString>",,,,
South Ash Avenue,148624240,148624240_AB,,,10262,10263,Major arterial,1,0.01435,1,40,900,4,190,12,,,"<LineString><coordinates>-111.942629,33.429115,0.0 -111.942680,33.429276,0.0 -111.942712,33.429322,0.0</coordinates></LineString>","<LineString><coordinates>-111.942641,33.429110,0.0 -111.942692,33.429271,0.0 -111.942724,33.429318,0.0</coordinates></LineString>",,,,
South Ash Avenue,148624240,148624240_BA,,,10263,10262,Major arterial,1,0.01435,1,40,900,4,190,12,,,"<LineString><coordinates>-111.942736,33.429313,0.0 -111.942704,33.429266,0.0 -111.942652,33.429105,0.0</coordinates></LineString>","<LineString><coordinates>-111.942724,33.429318,0.0 -111.942692,33.429271,0.0 -111.942641,33.429110,0.0</coordinates></LineString>",,,,
South Forest Mall,157628497,157628497_AB,,,10264,10077,Major arterial,1,0.24268,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936656,33.421162,0.0 -111.936646,33.420283,0.0 -111.936638,33.419636,0.0 -111.936630,33.419068,0.0 -111.936627,33.418846,0.0 -111.936673,33.418371,0.0 -111.936668,33.417654,0.0</coordinates></LineString>","<LineString><coordinates>-111.936644,33.421162,0.0 -111.936634,33.420283,0.0 -111.936625,33.419636,0.0 -111.936617,33.419068,0.0 -111.936614,33.418846,0.0 -111.936660,33.418371,0.0 -111.936655,33.417654,0.0</coordinates></LineString>",,,,
South Forest Mall,157628497,157628497_BA,,,10077,10264,Major arterial,1,0.24268,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936642,33.417653,0.0 -111.936648,33.418371,0.0 -111.936602,33.418846,0.0 -111.936605,33.419068,0.0 -111.936612,33.419636,0.0 -111.936621,33.420283,0.0 -111.936631,33.421162,0.0</coordinates></LineString>","<LineString><coordinates>-111.936655,33.417654,0.0 -111.936660,33.418371,0.0 -111.936614,33.418846,0.0 -111.936617,33.419068,0.0 -111.936625,33.419636,0.0 -111.936634,33.420283,0.0 -111.936644,33.421162,0.0</coordinates></LineString>",,,,
East Lemon Street,157628502,157628502_AB,,,10107,10156,Major arterial,1,0.00812,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936628,33.416193,0.0 -111.936518,33.416186,0.0 -111.936366,33.416177,0.0 -111.936278,33.416172,0.0 -111.936235,33.416170,0.0 -111.935918,33.416084,0.0 -111.935046,33.416086,0.0 -111.933278,33.416075,0.0</coordinates></LineString>","<LineString><coordinates>-111.936627,33.416205,0.0 -111.936517,33.416199,0.0 -111.936366,33.416190,0.0 -111.936277,33.416185,0.0 -111.936235,33.416182,0.0 -111.935917,33.416096,0.0 -111.935045,33.416099,0.0 -111.933278,33.416088,0.0</coordinates></LineString>",,,,
East Lemon Street,157628502,157628502_BA,,,10156,10107,Major arterial,1,0.00812,1,40,900,4,190,12,,,"<LineString><coordinates>-111.933278,33.416101,0.0 -111.935045,33.416111,0.0 -111.935917,33.416109,0.0 -111.936235,33.416195,0.0 -111.936277,33.416197,0.0 -111.936365,33.416203,0.0 -111.936517,33.416212,0.0 -111.936627,33.416218,0.0</coordinates></LineString>","<LineString><coordinates>-111.933278,33.416088,0.0 -111.935045,33.416099,0.0 -111.935917,33.416096,0.0 -111.936235,33.416182,0.0 -111.936277,33.416185,0.0 -111.936366,33.416190,0.0 -111.936517,33.416199,0.0 -111.936627,33.416205,0.0</coordinates></LineString>",,,,
East Tyler Mall,157628517,157628517_AB,,,10265,10266,Major arterial,1,0.00443,1,40,900,4,190,12,,,"<LineString><coordinates>-111.936633,33.420271,0.0 -111.935740,33.420278,0.0 -111.935078,33.420283,0.0 -111.934790,33.420275,0.0 -111.934156,33.420257,0.0 -111.933007,33.420265,0.0 -111.932723,33.420266,0.0 -111.930147,33.420281,0.0 -111.929503,33.420294,0.0 -111.929285,33.420301,0.0 -111.929089,33.420301,0.0 -111.929017,33.420325,0.0 -111.928929,33.420335,0.0</coordinates></LineString>","<LineString><coordinates>-111.936634,33.420283,0.0 -111.935740,33.420290,0.0 -111.935078,33.420296,0.0 -111.934790,33.420288,0.0 -111.934156,33.420270,0.0 -111.933007,33.420277,0.0 -111.932723,33.420279,0.0 -111.930147,33.420293,0.0 -111.929503,33.420307,0.0 -111.929285,33.420313,0.0 -111.929089,33.420313,0.0 -111.929017,33.420338,0.0 -111.928929,33.420347,0.0</coordinates></LineString>",,,,
East Tyler Mall,157628517,157628517_BA,,,10266,10265,Major arterial,1,0.00443,1,40,900,4,190,12,,,"<LineString><coordinates>-111.928929,33.420360,0.0 -111.929017,33.420351,0.0 -111.929089,33.420326,0.0 -111.929285,33.420326,0.0 -111.929503,33.420320,0.0 -111.930147,33.420306,0.0 -111.932724,33.420292,0.0 -111.933007,33.420290,0.0 -111.934156,33.420282,0.0 -111.934791,33.420300,0.0 -111.935078,33.420308,0.0 -111.935740,33.420303,0.0 -111.936634,33.420296,0.0</coordinates></LineString>","<LineString><coordinates>-111.928929,33.420347,0.0 -111.929017,33.420338,0.0 -111.929089,33.420313,0.0 -111.929285,33.420313,0.0 -111.929503,33.420307,0.0 -111.930147,33.420293,0.0 -111.932723,33.420279,0.0 -111.933007,33.420277,0.0 -111.934156,33.420270,0.0 -111.934790,33.420288,0.0 -111.935078,33.420296,0.0 -111.935740,33.420290,0.0 -111.936634,33.420283,0.0</coordinates></LineString>",,,,
,157628525,157628525_AB,,,10267,10268,Major arterial,1,0.0124,1,40,900,4,190,12,,,"<LineString><coordinates>-111.941766,33.422643,0.0 -111.941763,33.422464,0.0</coordinates></LineString>","<LineString><coordinates>-111.941753,33.422644,0.0 -111.941750,33.422464,0.0</coordinates></LineString>",,,,
,157628525,157628525_BA,,,10268,10267,Major arterial,1,0.0124,1,40,900,4,190,12,,,"<LineString><coordinates>-111.941738,33.422465,0.0 -111.941740,33.422644,0.0</coordinates></LineString>","<LineString><coordinates>-111.941750,33.422464,0.0 -111.941753,33.422644,0.0</coordinates></LineString>",,,,
